Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),# of ethyl (top),# of ethyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E6H3-4,8807,144,145,0,0,310,270,18.15376231,804.023601,125.78572,0.2401,0.2643
E6H4-1,8720,189,187,0,0,294,286,17.7657757,793.516786,124.32454,0.2451,0.2555
E6H4-2,8713,176,207,0,0,286,294,17.8883914,795.128177,124.25781,0.2423,0.2706
E6H4-3,8715,184,197,0,0,283,297,17.63928675,791.771031,123.28002,0.239,0.2547
E6H4-4,8713,190,193,0,0,297,283,18.16626685,785.908139,123.73752,0.245,0.2609
E6H5-1,8622,246,228,0,0,300,280,16.84937582,777.30571,123.70384,0.252,0.2682
E6H5-2,8617,268,211,0,0,286,294,17.35294758,782.349284,122.31829,0.2454,0.2536
E6H5-3,8619,219,258,0,0,306,274,17.55036749,785.860464,123.22203,0.2433,0.2563
E6H5-4,8619,237,240,0,0,291,289,16.89560721,771.903657,123.24688,0.2685,0.27
E6H6-1,8528,275,293,0,0,311,269,16.78621118,769.211259,121.74276,0.2441,0.2593
E6H6-2,8528,289,279,0,0,311,269,16.71437615,756.906067,122.07277,0.2504,0.2758
E6H6-3,8533,304,259,0,0,300,280,17.21638941,773.815747,122.14461,0.2446,0.2518
E6H6-4,8529,274,293,0,0,293,287,16.32944231,767.304,124.19026,0.2759,0.2785
E6H7-1,8439,336,321,0,0,271,309,16.08317565,763.188149,121.16559,0.2529,0.2809
E6H7-2,8426,318,352,0,0,292,288,16.15331633,763.01749,121.46996,0.2462,0.2603
E6H7-3,8432,339,325,0,0,301,279,16.40904268,751.178816,119.40218,0.2518,0.2674
E6H7-4,8431,349,316,0,0,299,281,15.49690211,754.35827,120.97654,0.2636,0.271
E6H8-1,8337,371,388,0,0,283,297,15.09730642,748.063364,120.69607,0.2569,0.2641
E6H8-2,8343,386,367,0,0,284,296,15.96946006,753.514652,121.11879,0.2755,0.2803
E6H8-3,8334,373,389,0,0,293,287,15.11916895,743.912294,120.5616,0.2598,0.2693
E6H8-4,8338,383,375,0,0,292,288,14.8776316,743.298409,120.66603,0.2572,0.2672
E6H9-1,8248,427,421,0,0,295,285,15.06773764,727.721591,119.08878,0.2678,0.2725
E6H9-2,8240,437,419,0,0,290,290,14.88583657,717.886331,119.59595,0.2693,0.2716
E6H9-3,8248,419,429,0,0,290,290,15.27645997,730.514542,117.83872,0.2478,0.2649
E6H9-4,8256,420,420,0,0,289,291,14.78337699,733.343036,119.93075,0.2672,0.2737
E6H10-1,8156,490,450,0,0,285,295,14.42450806,726.32733,118.91808,0.2741,0.2926
E6H10-2,8147,442,507,0,0,282,298,15.24383292,719.913697,120.27492,0.2798,0.2837
E6H10-3,8148,482,466,0,0,269,311,14.34452434,721.047484,120.58057,0.2952,0.3078
E6H10-4,8152,487,457,0,0,275,305,14.81202352,723.799481,118.87944,0.2838,0.2879
E7H1-1,8903,56,40,0,0,325,352,18.79975819,810.240394,128.44039,0.2536,0.2542
